"Time","{endpoint=""web"", handler=""/searches/"", instance=""10.1.3.78:8500"", job=""bet-data-service"", method=""GET"", namespace=""dsbd"", pod=""bet-data-service-db857d4db-v8lnw"", service=""bet-data-service"", status=""2xx""}"
2022-01-30 08:29:30,0.191
2022-01-30 08:30:00,0.190
2022-01-30 08:30:30,0.187
2022-01-30 08:31:00,0.189
2022-01-30 08:31:30,0.193
2022-01-30 08:32:00,0.191
2022-01-30 08:32:30,0.192
2022-01-30 08:33:00,0.194
2022-01-30 08:33:30,0.199
2022-01-30 08:34:00,0.201
2022-01-30 08:34:30,0.199
2022-01-30 08:35:00,0.197
2022-01-30 08:35:30,0.198
2022-01-30 08:36:00,0.191
2022-01-30 08:36:30,0.195
2022-01-30 08:37:00,0.198
2022-01-30 08:37:30,0.198
2022-01-30 08:38:00,0.199
2022-01-30 08:38:30,0.200
2022-01-30 08:39:00,0.198
2022-01-30 08:39:30,0.199
2022-01-30 08:40:00,0.199
2022-01-30 08:40:30,0.202
2022-01-30 08:41:00,0.206
2022-01-30 08:41:30,0.202
2022-01-30 08:42:00,0.201
2022-01-30 08:42:30,0.197
2022-01-30 08:43:00,0.195
2022-01-30 08:43:30,0.193
2022-01-30 08:44:00,0.199
2022-01-30 08:44:30,0.199

